,event,datetime,opponent,median_ticket_price,date,time
0,Spring Training: Washington Nationals at Atlanta Braves,2019-02-25T13:05:00,Atlanta Braves,27,2019-02-25,13:05
1,Spring Training: St. Louis Cardinals at Washington Nationals,2019-02-26T13:05:00,St. Louis Cardinals,37,2019-02-26,13:05
2,Spring Training: Houston Astros at Washington Nationals,2019-02-27T13:05:00,Houston Astros,36,2019-02-27,13:05
3,Spring Training: Washington Nationals at Boston Red Sox,2019-02-28T13:05:00,Boston Red Sox,37,2019-02-28,13:05
4,Spring Training: Washington Nationals at Miami Marlins,2019-03-01T13:05:00,Miami Marlins,32,2019-03-01,13:05
5,Spring Training: Minnesota Twins at Washington Nationals,2019-03-02T13:05:00,Minnesota Twins,50,2019-03-02,13:05
6,Spring Training: Houston Astros at Washington Nationals,2019-03-03T13:05:00,Houston Astros,65,2019-03-03,13:05
7,Spring Training: Washington Nationals at Miami Marlins,2019-03-04T13:05:00,Miami Marlins,30,2019-03-04,13:05
8,Spring Training: Boston Red Sox at Washington Nationals,2019-03-05T13:05:00,Boston Red Sox,136,2019-03-05,13:05
9,Spring Training: New York Mets at Washington Nationals,2019-03-07T13:05:00,New York Mets,77,2019-03-07,13:05
10,Spring Training: Washington Nationals at St. Louis Cardinals,2019-03-08T13:05:00,St. Louis Cardinals,48,2019-03-08,13:05
11,Spring Training: Miami Marlins at Washington Nationals,2019-03-09T18:35:00,Miami Marlins,52,2019-03-09,18:35
12,Spring Training: Washington Nationals at Houston Astros,2019-03-10T13:05:00,Houston Astros,78,2019-03-10,13:05
13,Spring Training: Washington Nationals at St. Louis Cardinals,2019-03-11T13:05:00,St. Louis Cardinals,63,2019-03-11,13:05
14,Spring Training: Houston Astros at Washington Nationals,2019-03-12T18:35:00,Houston Astros,62,2019-03-12,18:35
15,Spring Training: Atlanta Braves at Washington Nationals,2019-03-13T13:05:00,Atlanta Braves,50,2019-03-13,13:05
16,Spring Training: Washington Nationals at Minnesota Twins,2019-03-14T13:05:00,Minnesota Twins,44,2019-03-14,13:05
17,Spring Training: Washington Nationals at New York Mets,2019-03-15T13:10:00,New York Mets,65,2019-03-15,13:10
18,Spring Training: St. Louis Cardinals at Washington Nationals,2019-03-16T13:05:00,St. Louis Cardinals,80,2019-03-16,13:05
19,Spring Training: New York Mets at Washington Nationals,2019-03-17T13:05:00,New York Mets,73,2019-03-17,13:05
20,Spring Training: Miami Marlins at Washington Nationals,2019-03-18T13:05:00,Miami Marlins,45,2019-03-18,13:05
21,Spring Training: Washington Nationals at New York Mets,2019-03-18T13:10:00,New York Mets,53,2019-03-18,13:10
22,Spring Training: Washington Nationals at Atlanta Braves,2019-03-19T13:05:00,Atlanta Braves,69,2019-03-19,13:05
23,Spring Training: St. Louis Cardinals at Washington Nationals,2019-03-21T18:35:00,St. Louis Cardinals,70,2019-03-21,18:35
24,Spring Training: Washington Nationals at Miami Marlins,2019-03-22T19:05:00,Miami Marlins,56,2019-03-22,19:05
25,Spring Training: St. Louis Cardinals at Washington Nationals,2019-03-23T13:05:00,St. Louis Cardinals,81,2019-03-23,13:05
26,Spring Training: Washington Nationals at New York Mets,2019-03-24T12:10:00,New York Mets,62,2019-03-24,12:10
27,Spring Training: Washington Nationals at Houston Astros,2019-03-24T13:05:00,Houston Astros,74,2019-03-24,13:05
28,Spring Training: New York Yankees at Washington Nationals,2019-03-25T17:05:00,New York Yankees,77,2019-03-25,17:05
