,event,datetime,opponent,median_ticket_price,dodgers_home_away,date,time
0,Spring Training: Chicago Cubs at Los Angeles Dodgers,2019-02-25T13:05:00,Chicago Cubs,11,Spring Training,2019-02-25,13:05
1,Spring Training: Los Angeles Dodgers at Kansas City Royals,2019-02-26T13:05:00,Kansas City Royals,36,Spring Training,2019-02-26,13:05
2,Spring Training: Los Angeles Dodgers at Oakland Athletics,2019-02-27T13:05:00,Oakland Athletics,49,Spring Training,2019-02-27,13:05
3,Spring Training: Colorado Rockies at Los Angeles Dodgers,2019-02-28T13:05:00,Colorado Rockies,28,Spring Training,2019-02-28,13:05
4,Spring Training: San Diego Padres at Los Angeles Dodgers,2019-03-01T18:05:00,San Diego Padres,51,Spring Training,2019-03-01,18:05
5,Spring Training: Los Angeles Dodgers at Cleveland Indians,2019-03-01T18:10:00,Cleveland Indians,49,Spring Training,2019-03-01,18:10
6,Spring Training: Los Angeles Dodgers at Arizona Diamondbacks,2019-03-02T13:10:00,Arizona Diamondbacks,96,Spring Training,2019-03-02,13:10
7,Spring Training: Texas Rangers at Los Angeles Dodgers,2019-03-03T13:05:00,Texas Rangers,54,Spring Training,2019-03-03,13:05
8,Spring Training: Los Angeles Dodgers at San Francisco Giants,2019-03-04T13:05:00,San Francisco Giants,88,Spring Training,2019-03-04,13:05
9,Spring Training: Cleveland Indians at Los Angeles Dodgers,2019-03-06T19:05:00,Cleveland Indians,50,Spring Training,2019-03-06,19:05
10,Spring Training: Los Angeles Dodgers at Los Angeles Angels,2019-03-07T13:10:00,Los Angeles Angels,75,Spring Training,2019-03-07,13:10
11,Spring Training: Kansas City Royals at Los Angeles Dodgers,2019-03-08T19:05:00,Kansas City Royals,56,Spring Training,2019-03-08,19:05
12,Spring Training: Seattle Mariners at Los Angeles Dodgers,2019-03-09T13:05:00,Seattle Mariners,82,Spring Training,2019-03-09,13:05
13,Spring Training: Los Angeles Dodgers at Colorado Rockies,2019-03-10T13:10:00,Colorado Rockies,88,Spring Training,2019-03-10,13:10
14,Spring Training: San Francisco Giants at Los Angeles Dodgers,2019-03-11T13:05:00,San Francisco Giants,77,Spring Training,2019-03-11,13:05
15,Spring Training: Chicago White Sox at Los Angeles Dodgers,2019-03-13T19:05:00,Chicago White Sox,49,Spring Training,2019-03-13,19:05
16,Spring Training: Cincinnati Reds at Los Angeles Dodgers,2019-03-14T13:05:00,Cincinnati Reds,49,Spring Training,2019-03-14,13:05
17,Spring Training: Los Angeles Dodgers at San Diego Padres,2019-03-14T18:40:00,San Diego Padres,77,Spring Training,2019-03-14,18:40
