,event,datetime,opponent,median_ticket_price,phillies_home_away,date,time
0,Spring Training: Detroit Tigers at Philadelphia Phillies,2019-02-25T13:05:00,Detroit Tigers,23,Spring Training,2019-02-25,13:05
1,Spring Training: Philadelphia Phillies at New York Yankees,2019-02-26T13:05:00,New York Yankees,30,Spring Training,2019-02-26,13:05
2,Spring Training: Minnesota Twins at Philadelphia Phillies,2019-02-27T13:05:00,Minnesota Twins,47,Spring Training,2019-02-27,13:05
3,Spring Training: Baltimore Orioles at Philadelphia Phillies,2019-02-28T13:05:00,Baltimore Orioles,44,Spring Training,2019-02-28,13:05
4,Spring Training: Philadelphia Phillies at Toronto Blue Jays,2019-02-28T13:07:00,Toronto Blue Jays,42,Spring Training,2019-02-28,13:07
5,Spring Training: Pittsburgh Pirates at Philadelphia Phillies,2019-03-01T13:05:00,Pittsburgh Pirates,55,Spring Training,2019-03-01,13:05
6,Spring Training: Philadelphia Phillies at Tampa Bay Rays,2019-03-02T13:05:00,Tampa Bay Rays,43,Spring Training,2019-03-02,13:05
7,Spring Training: Philadelphia Phillies at Minnesota Twins,2019-03-03T13:05:00,Minnesota Twins,69,Spring Training,2019-03-03,13:05
8,Spring Training: St. Louis Cardinals at Philadelphia Phillies,2019-03-05T13:05:00,St. Louis Cardinals,82,Spring Training,2019-03-05,13:05
9,Spring Training: Philadelphia Phillies at Toronto Blue Jays,2019-03-06T13:07:00,Toronto Blue Jays,54,Spring Training,2019-03-06,13:07
10,Spring Training: Philadelphia Phillies at Detroit Tigers,2019-03-07T13:05:00,Detroit Tigers,39,Spring Training,2019-03-07,13:05
11,Spring Training: New York Yankees at Philadelphia Phillies,2019-03-07T13:05:00,New York Yankees,75,Spring Training,2019-03-07,13:05
12,Spring Training: Philadelphia Phillies at Atlanta Braves,2019-03-08T18:05:00,Atlanta Braves,91,Spring Training,2019-03-08,18:05
13,Spring Training: Toronto Blue Jays at Philadelphia Phillies,2019-03-09T13:05:00,Toronto Blue Jays,77,Spring Training,2019-03-09,13:05
14,Spring Training: Philadelphia Phillies at Baltimore Orioles,2019-03-10T13:05:00,Baltimore Orioles,79,Spring Training,2019-03-10,13:05
15,Spring Training: Tampa Bay Rays at Philadelphia Phillies,2019-03-11T13:05:00,Tampa Bay Rays,62,Spring Training,2019-03-11,13:05
16,Spring Training: Philadelphia Phillies at New York Yankees,2019-03-13T18:35:00,New York Yankees,89,Spring Training,2019-03-13,18:35
17,Spring Training: Philadelphia Phillies at Tampa Bay Rays,2019-03-14T13:05:00,Tampa Bay Rays,48,Spring Training,2019-03-14,13:05
18,Spring Training: Philadelphia Phillies at Pittsburgh Pirates,2019-03-14T13:05:00,Pittsburgh Pirates,54,Spring Training,2019-03-14,13:05
19,Spring Training: Toronto Blue Jays at Philadelphia Phillies,2019-03-15T13:05:00,Toronto Blue Jays,75,Spring Training,2019-03-15,13:05
20,Spring Training: Houston Astros at Philadelphia Phillies,2019-03-16T13:05:00,Houston Astros,89,Spring Training,2019-03-16,13:05
21,Spring Training: New York Yankees at Philadelphia Phillies,2019-03-17T13:05:00,New York Yankees,120,Spring Training,2019-03-17,13:05
22,Spring Training: Philadelphia Phillies at St. Louis Cardinals,2019-03-18T13:05:00,St. Louis Cardinals,103,Spring Training,2019-03-18,13:05
23,Spring Training: Philadelphia Phillies at Houston Astros,2019-03-19T13:05:00,Houston Astros,88,Spring Training,2019-03-19,13:05
24,Spring Training: Detroit Tigers at Philadelphia Phillies,2019-03-20T13:05:00,Detroit Tigers,62,Spring Training,2019-03-20,13:05
25,Spring Training: Toronto Blue Jays at Philadelphia Phillies,2019-03-21T13:05:00,Toronto Blue Jays,64,Spring Training,2019-03-21,13:05
26,Spring Training: Philadelphia Phillies at New York Yankees,2019-03-22T18:35:00,New York Yankees,123,Spring Training,2019-03-22,18:35
27,Spring Training: Philadelphia Phillies at Pittsburgh Pirates,2019-03-23T13:05:00,Pittsburgh Pirates,55,Spring Training,2019-03-23,13:05
28,Spring Training: Baltimore Orioles at Philadelphia Phillies,2019-03-24T13:05:00,Baltimore Orioles,59,Spring Training,2019-03-24,13:05
29,Spring Training: Tampa Bay Rays at Philadelphia Phillies,2019-03-25T13:05:00,Tampa Bay Rays,54,Spring Training,2019-03-25,13:05
30,Opening Day: Atlanta Braves at Philadelphia Phillies,2019-03-28T15:05:00,Atlanta Braves,168,Home,2019-03-28,15:05
31,Atlanta Braves at Philadelphia Phillies,2019-03-30T16:05:00,Atlanta Braves,108,Home,2019-03-30,16:05
32,Atlanta Braves at Philadelphia Phillies,2019-03-31T19:08:00,Atlanta Braves,88,Home,2019-03-31,19:08
33,Philadelphia Phillies at Washington Nationals,2019-04-02T19:05:00,Washington Nationals,168,Away,2019-04-02,19:05
34,Philadelphia Phillies at Washington Nationals,2019-04-03T13:05:00,Washington Nationals,126,Away,2019-04-03,13:05
35,Minnesota Twins at Philadelphia Phillies,2019-04-05T19:05:00,Minnesota Twins,83,Home,2019-04-05,19:05
36,Minnesota Twins at Philadelphia Phillies,2019-04-06T14:05:00,Minnesota Twins,89,Home,2019-04-06,14:05
37,Minnesota Twins at Philadelphia Phillies,2019-04-07T13:05:00,Minnesota Twins,82,Home,2019-04-07,13:05
38,Washington Nationals at Philadelphia Phillies,2019-04-08T19:05:00,Washington Nationals,77,Home,2019-04-08,19:05
39,Washington Nationals at Philadelphia Phillies,2019-04-09T19:05:00,Washington Nationals,71,Home,2019-04-09,19:05
40,Washington Nationals at Philadelphia Phillies,2019-04-10T19:05:00,Washington Nationals,78,Home,2019-04-10,19:05
41,Philadelphia Phillies at Miami Marlins,2019-04-12T19:10:00,Miami Marlins,90,Away,2019-04-12,19:10
42,Philadelphia Phillies at Miami Marlins,2019-04-13T18:10:00,Miami Marlins,83,Away,2019-04-13,18:10
43,Philadelphia Phillies at Miami Marlins,2019-04-14T13:10:00,Miami Marlins,80,Away,2019-04-14,13:10
44,New York Mets at Philadelphia Phillies,2019-04-15T19:05:00,New York Mets,80,Home,2019-04-15,19:05
